regionname,statename,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Shawnee,Kansas,,187908.3333,182650,194133.3333,201208.3333,216500,225841.6667,239225,255158.3333,278491.6667,62311,63011,63559,64243,64449,64994,65376,65556,65933,65807
Waukesha,Wisconsin,,,,,,187641.6667,197033.3333,199441.6667,202925,228125,71215,71224,71717,71775,72009,72375,72405,72516,72453,72299
Elyria,Ohio,73108.33333,55266.66667,61383.33333,67116.66667,73666.66667,77758.33333,82500,86225,95375,,54487,54322,54162,54115,54078,53917,53865,53781,53797,53757
Montebello,California,317191.6667,304816.6667,301675,349775,391666.6667,410000,435841.6667,471441.6667,506866.6667,518441.6667,62490,62903,63123,63279,63322,63379,63134,62823,62440,61954
Woodland,California,213566.6667,197641.6667,193625,241058.3333,268966.6667,301000,322250,354875,390575,405208.3333,55615,55786,56272,56713,57328,58385,59098,59923,60474,60548
Eden Prairie,Minnesota,274516.6667,267266.6667,263266.6667,277308.3333,306916.6667,300108.3333,300866.6667,314833.3333,328908.3333,350650,60899,61667,62392,62673,63341,63608,64001,64193,64263,64893
Mansfield,Texas,,,,,,,233683.3333,256425,267875,278041.6667,57088,58331,59682,61228,62605,64705,66253,68841,70796,72419
San Clemente,California,633150,582825,621241.6667,713091.6667,753458.3333,786583.3333,819608.3333,831191.6667,933450,958658.3333,63605,64255,64612,64845,64947,65142,65185,64973,64699,64558
Novato,California,499841.6667,434933.3333,465366.6667,574908.3333,642116.6667,713191.6667,725916.6667,793675,848375,821325,51970,52680,53221,54142,54856,55406,55913,55701,55640,55516
Waltham,Massachusetts,350216.6667,328591.6667,368583.3333,383500,404566.6667,420108.3333,478075,511250,550550,570300,60889,61382,62047,62327,63114,63003,62939,62822,62563,62495
Broomfield,Colorado,264391.6667,262241.6667,265341.6667,278125,300000,328133.3333,364583.3333,413150,446858.3333,477566.6667,56226,57493,58971,60149,61764,64866,66513,68263,69324,70465
North Miami,Florida,,,,,134258.3333,132775,144925,183816.6667,192183.3333,201383.3333,60322,60991,61553,61946,61903,62040,62018,61939,63481,62822
Haverhill,Massachusetts,,,,,,,,256258.3333,275258.3333,299900,60999,61505,61860,62272,62605,62861,63200,63664,63926,64014
Coon Rapids,Minnesota,143133.3333,124750,124966.6667,147983.3333,158308.3333,172383.3333,187258.3333,198758.3333,222100,231733.3333,61539,61561,61958,62064,62163,62264,62374,62479,62491,62998
Encinitas,California,,,,,,,898175,945258.3333,1004358.333,1185066.667,59684,60264,60890,61555,62023,62590,62921,62884,62750,62709
Taylor,Michigan,,,,,,,66875,81816.66667,93141.66667,102641.6667,62982,62631,62465,61957,62068,61777,61580,61404,61163,60922
Blaine,Minnesota,169166.6667,157483.3333,158141.6667,177725,196066.6667,203258.3333,220008.3333,225958.3333,246750,266125,57409,58194,59438,60500,61386,62360,63191,64288,65082,65607
Port Orange,Florida,141141.6667,134033.3333,134658.3333,140708.3333,154200,163250,183583.3333,195891.6667,213808.3333,231666.6667,56627,56727,56978,57508,58983,60145,61454,63062,64055,64842
La Habra,California,315158.3333,301850,293325,371708.3333,401941.6667,441891.6667,465475,480008.3333,533250,560075,59108,59658,59970,60224,60421,60473,60292,60898,60778,60513
Burnsville,Minnesota,181658.3333,150700,160025,188391.6667,199608.3333,219316.6667,227400,238191.6667,254833.3333,267766.6667,60391,60649,60864,61144,61314,61203,61316,61431,61162,61339
Monterey Park,California,447516.6667,406850,411908.3333,463658.3333,500866.6667,510800,544808.3333,577325,612708.3333,650850,60218,60460,60645,60796,60832,60908,60830,60668,60198,59669
Albany,Oregon,162208.3333,148958.3333,152425,167783.3333,174766.6667,187658.3333,203241.6667,230250,253783.3333,274450,50327,50946,51017,50937,51343,51659,52716,53524,54518,55338
Vineland,New Jersey,157150,146616.6667,149158.3333,136766.6667,139283.3333,141341.6667,135966.6667,131025,136708.3333,143891.6667,60820,60984,60921,60874,60887,60583,60312,59862,59856,59439
West Des Moines,Iowa,164025,163450,164025,170716.6667,172983.3333,179775,195350,202758.3333,207741.6667,222516.6667,56864,57562,58154,59733,61827,63489,64595,65556,66605,67899
Utica,New York,83666.66667,73033.33333,73833.33333,74550,75525,78450,84066.66667,88308.33333,101500,112200,62209,62036,61886,61680,61289,60912,60618,60374,60040,59750
Gilroy,California,391308.3333,374141.6667,381241.6667,489741.6667,552533.3333,609916.6667,649083.3333,698300,756758.3333,763683.3333,49006,49700,50718,51893,52538,53259,55369,57549,58588,59032
Janesville,Wisconsin,,,,,,118491.6667,130941.6667,133233.3333,148183.3333,159600,63623,63439,63509,63675,63853,63880,64023,64297,64483,64575
Malden,Massachusetts,,,248816.6667,268908.3333,284400,307716.6667,326441.6667,378975,426983.3333,442283.3333,59691,60131,60591,60938,61217,61383,61276,61079,60735,60470
West Allis,Wisconsin,,,,,,,,130583.3333,142391.6667,150725,60418,60492,60695,60803,60765,60709,60331,59845,59410,59890
Taylorsville,Utah,175991.6667,150258.3333,153983.3333,179216.6667,185358.3333,202708.3333,223133.3333,245558.3333,269916.6667,291275,58754,59761,60210,60530,60361,60290,60401,60057,60005,59805
Bristol,Connecticut,172175,164383.3333,173441.6667,174250,167833.3333,160541.6667,157683.3333,158725,162608.3333,166283.3333,60502,60599,60658,60558,60588,60524,60304,60131,60101,59947
National City,California,,,,,,,,381175,412400,430516.6667,58624,59042,59369,59776,60132,60721,60967,61083,61272,61394
Gardena,California,298300,276100,282658.3333,344083.3333,373383.3333,399700,431291.6667,469991.6667,528008.3333,550041.6667,58835,59114,59368,59788,59843,59946,59873,59871,59540,59329
Sammamish,Washington,516416.6667,508158.3333,502950,542325,600208.3333,636850,714633.3333,809708.3333,892025,894641.6667,57656,58726,59973,61006,62174,63266,63817,64929,65495,65892
Meriden,Connecticut,,,136875,146116.6667,128741.6667,131000,134233.3333,142225,152758.3333,166400,60832,60699,60672,60491,60384,60063,59708,59646,59566,59395
Cupertino,California,991816.6667,960458.3333,1042625,1229791.667,1416183.333,1619141.667,1617691.667,1761291.667,2101625,1873633.333,58689,59172,59769,60198,60592,60519,60900,60588,60004,59276
Rapid City,South Dakota,,,,,165066.6667,169925,179675,182816.6667,194600,210975,69154,69587,70739,71730,72995,73370,74116,75237,76170,77503
Royal Oak,Michigan,110675,108325,128600,157366.6667,172625,182050,199983.3333,217866.6667,232508.3333,237633.3333,57260,57697,58139,58562,58763,58750,59226,59374,59356,59277
Oshkosh,Wisconsin,96458.33333,93875,93991.66667,103033.3333,98858.33333,102633.3333,110275,118358.3333,126933.3333,130675,66328,66360,66862,66943,66796,66684,66634,66705,66802,67004
Wheaton,Illinois,291566.6667,276550,263641.6667,265266.6667,277550,274283.3333,284450,289475,325525,326641.6667,53104,53416,53576,53765,53769,53736,53518,53406,53108,52745
Olympia,Washington,242908.3333,226100,215991.6667,229591.6667,228950,240458.3333,263625,280891.6667,313666.6667,340233.3333,47067,47696,48089,48473,49327,49849,50732,51660,52508,52882
Medford,Massachusetts,317700,309158.3333,321733.3333,344241.6667,385341.6667,415250,466866.6667,516366.6667,551925,568541.6667,56400,56824,57255,57399,57551,57792,57820,57772,57554,57341
Bartlett,Tennessee,150258.3333,149183.3333,146925,144275,150625,158100,170141.6667,179741.6667,194350,208325,57030,57388,58224,58231,58353,58665,58887,59101,59403,59440
White Plains,New York,547433.3333,510508.3333,524433.3333,519683.3333,551150,572883.3333,554016.6667,561258.3333,614041.6667,610533.3333,56946,57183,57255,57647,57733,58020,58000,58388,58141,58109
Grand Forks,North Dakota,,,,,,,,202883.3333,210458.3333,208550,53040,52770,53576,54914,55811,56535,56729,56754,56637,55839
Bayonne,New Jersey,273966.6667,258391.6667,251900,246000,254491.6667,262525,269725,306616.6667,355358.3333,381883.3333,63050,63945,64252,64736,65369,65290,65315,65333,64677,64897
Newark,Ohio,,,,91391.66667,115075,124383.3333,113933.3333,114341.6667,118141.6667,131516.6667,47614,47720,47809,48034,48283,48592,48946,49471,50001,50315
Mishawaka,Indiana,,,,83125,84850,87800,98991.66667,106858.3333,115200,124358.3333,48203,48106,48045,48111,48260,48279,48814,48984,49810,50363
Fountain Valley,California,558175,515950,518333.3333,576041.6667,621733.3333,647891.6667,678558.3333,703891.6667,765091.6667,816166.6667,55470,55950,56318,56601,56671,56643,56423,56051,55663,55357
Stillwater,Oklahoma,,,,,,,,,157641.6667,173858.3333,45762,46264,46723,47426,48454,49135,49769,50039,50479,50299
Rocklin,California,263733.3333,259358.3333,272458.3333,340491.6667,372025,388566.6667,417758.3333,444208.3333,479775,496016.6667,57474,58426,58962,59613,60060,60908,62605,64654,67065,68823
Coconut Creek,Florida,78325,77783.33333,82800,101033.3333,125458.3333,138958.3333,148633.3333,158058.3333,173800,182883.3333,53183,54324,55131,56920,58502,59202,59815,61070,61205,61248
Kettering,Ohio,112833.3333,98175,101591.6667,106125,106808.3333,110225,115658.3333,124833.3333,130633.3333,138941.6667,56131,56000,55925,55798,55552,55375,55244,55144,55014,54855
Midwest City,Oklahoma,,,,,82958.33333,94200,92883.33333,92708.33333,96191.66667,92991.66667,54586,55386,56232,56835,57095,57289,57417,57165,57186,57407
Lehi,Utah,218566.6667,196566.6667,204316.6667,233416.6667,248516.6667,265741.6667,281591.6667,312125,339000,364875,48170,49677,51385,55089,57000,59034,61690,63674,65958,69724
Berwyn,Illinois,127875,112400,100341.6667,108150,140166.6667,155191.6667,169433.3333,187683.3333,201075,210041.6667,56671,56791,56886,56914,56777,56436,55986,55435,54821,54391
Dearborn Heights,Michigan,,,,,,78558.33333,87716.66667,102433.3333,114983.3333,120441.6667,57640,57278,57115,56653,56596,56322,56097,55873,55627,55353
Colton,California,122291.6667,115308.3333,128616.6667,147833.3333,183541.6667,212091.6667,235791.6667,260500,289966.6667,298425,52261,52712,52945,53105,53706,54291,54507,54680,54637,54824
Taunton,Massachusetts,,,,185325,198766.6667,220358.3333,234841.6667,254933.3333,268691.6667,283683.3333,55851,55876,55990,56109,56659,56838,56939,56982,57365,57464
Moore,Oklahoma,112941.6667,115458.3333,114708.3333,118225,121266.6667,124583.3333,125358.3333,129075,134041.6667,150350,55425,56724,57830,57800,58462,59593,60479,60973,61452,62055
Chicopee,Massachusetts,151100,141400,133883.3333,148441.6667,144083.3333,149516.6667,153116.6667,159891.6667,169808.3333,172716.6667,55306,55630,55840,55923,56274,55820,55342,55336,55424,55126
Maricopa,Arizona,99525,86050,109266.6667,131066.6667,134433.3333,144925,154950,169458.3333,187133.3333,207141.6667,43686,43866,44030,44814,45543,46109,46914,48002,50028,52127
Tigard,Oregon,,,,,,,,409558.3333,431633.3333,442083.3333,48326,49244,49818,50361,50674,51060,51978,53373,54652,55514
Margate,Florida,73150,65425,80875,97383.33333,119550,135825,149108.3333,160575,178408.3333,192208.3333,53242,54190,54820,55256,55664,56741,57832,58200,58495,58796
Santee,California,292450,274366.6667,276391.6667,335308.3333,369216.6667,388125,417950,448733.3333,487375,490133.3333,53640,54523,55381,56151,56828,57471,57678,57825,57944,58081
Paramount,California,174941.6667,165683.3333,156791.6667,204775,247541.6667,274266.6667,288841.6667,324941.6667,356300,,54104,54329,54580,54854,54914,54971,54789,54621,54259,53955
Grand Island,Nebraska,,,117516.6667,125316.6667,124758.3333,133375,143075,144941.6667,148216.6667,162175,48819,49401,49905,50323,50887,50959,51182,51128,51219,51267
Euless,Texas,139883.3333,142908.3333,132266.6667,146700,159350,175700,186941.6667,210983.3333,225791.6667,244275,51411,52052,52756,53140,53569,54163,54881,55252,57241,57197
Wyoming,Michigan,,,,78233.33333,88866.66667,101100,117250,131633.3333,143966.6667,155400,72131,72729,73509,74307,74986,75298,75685,76056,75839,75667
Richland,Washington,183108.3333,192658.3333,190591.6667,193108.3333,198166.6667,208566.6667,230833.3333,250325,284241.6667,317258.3333,48876,50622,51767,52549,53248,54412,55095,56656,57533,58225
Lacey,Washington,210216.6667,185050,182425,190275,203950,217533.3333,235783.3333,259266.6667,285316.6667,313566.6667,42708,43423,43947,44761,45271,46071,47309,49632,50600,52592
Novi,Michigan,174041.6667,177783.3333,201000,234066.6667,254683.3333,250316.6667,265933.3333,267183.3333,287225,300683.3333,55287,56055,57043,58124,58634,58913,59598,59948,60787,60896
Glendora,California,383050,372358.3333,364408.3333,436658.3333,463575,508091.6667,532408.3333,536200,594608.3333,605375,50376,50624,50795,51120,51065,51769,51882,51997,51846,51544
Palm Desert,California,,,,,,,,301266.6667,329025,351666.6667,48684,49251,49775,50357,50916,51552,52077,52794,53129,53275
Bonita Springs,Florida,,196616.6667,223600,252400,271166.6667,281983.3333,292416.6667,300733.3333,310466.6667,315516.6667,44075,45039,46342,47664,49367,51850,54400,56175,57398,59637
Delano,California,120508.3333,118200,124083.3333,132858.3333,145008.3333,168341.6667,176658.3333,196075,196933.3333,219508.3333,53130,53620,52403,52331,52447,52495,52568,52877,52921,53573
Lake Havasu City,Arizona,142775,136458.3333,147941.6667,163033.3333,177375,192808.3333,207558.3333,230883.3333,253966.6667,274433.3333,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865
Buckeye,Arizona,91500,80541.66667,101775,133225,139783.3333,149775,171508.3333,187341.6667,207800,225733.3333,51350,52486,54389,56603,59100,61633,64641,68534,74339,79620
Lenexa,Kansas,225066.6667,215175,212633.3333,214875,224841.6667,234300,255958.3333,270800,305550,318666.6667,48292,48865,49351,50279,50924,52430,53028,53557,55349,55625
Hoboken,New Jersey,467108.3333,474466.6667,476758.3333,535383.3333,552658.3333,614008.3333,677208.3333,702116.6667,721700,718616.6667,50057,50769,51481,52177,52463,52839,53649,53662,53134,52677
West Sacramento,California,208025,186016.6667,187583.3333,225666.6667,271233.3333,292575,323725,337250,369066.6667,375766.6667,48842,49106,49528,49978,51637,52431,52933,53304,53601,53519
Shoreline,Washington,309200,282991.6667,268791.6667,309841.6667,335966.6667,379075,429466.6667,512641.6667,575050,569141.6667,53180,53762,54459,54802,55249,55592,55687,56521,56557,57027
Pocatello,Idaho,,,,,,,,,150300,169266.6667,54335,54702,54779,54476,54427,54775,54911,55336,55982,56637
Yucaipa,California,196800,195258.3333,190166.6667,241550,277525,296808.3333,309341.6667,339541.6667,364875,374266.6667,51474,51954,52280,52546,52730,52981,53186,53496,53557,53921
West Haven,Connecticut,,,150366.6667,145275,146925,132008.3333,148125,153383.3333,167200,175241.6667,55570,55510,55284,55130,55289,54872,54640,54841,54895,54620
Twin Falls,Idaho,130316.6667,122841.6667,129916.6667,141841.6667,149125,152050,162433.3333,177566.6667,197116.6667,212108.3333,44517,44851,45088,45846,46480,47280,48287,49298,49713,50197
Decatur,Alabama,,,,,,,,99966.66667,115300,121883.3333,55814,55916,55837,55465,55269,55027,54729,54437,54364,54445
Florissant,Missouri,75325,58366.66667,52808.33333,57816.66667,64141.66667,68100,75150,82300,89900,101675,52235,52430,52379,52265,52172,52072,51652,51380,51147,50952
Peabody,Massachusetts,271900,275216.6667,274250,297925,309958.3333,330241.6667,357883.3333,369416.6667,401008.3333,419091.6667,51399,51632,51904,52224,52463,52629,52759,52948,53092,53070
Kentwood,Michigan,99341.66667,89675,101166.6667,115608.3333,126625,138075,150091.6667,161975,182666.6667,196033.3333,48732,49186,49752,50352,50861,51352,51742,51781,51829,51898
Ankeny,Iowa,161158.3333,157050,164566.6667,169708.3333,176741.6667,188358.3333,198466.6667,203408.3333,214191.6667,242400,45845,47043,48363,50785,53299,56109,58609,62365,65248,67355
Placentia,California,447550,431483.3333,422025,488608.3333,526983.3333,574375,602866.6667,615400,658550,683175,50994,51503,51838,52105,52108,52202,52154,51916,51538,51233
Brookhaven,Georgia,,,,,,,392025,400458.3333,457408.3333,512258.3333,49688,50147,50942,51479,51990,52693,53148,53630,54029,55554
Doral,Florida,,,,,,,291491.6667,299666.6667,308650,322475,45953,47024,47877,50052,53643,55482,57704,60222,60762,65741
Plainfield,New Jersey,,,,,,,,,196258.3333,241475,49667,49816,49972,50223,50315,50464,50276,50367,50430,50317
Apple Valley,Minnesota,182700,163250,170883.3333,190258.3333,206216.6667,216533.3333,218558.3333,230125,251150,274400,49146,49492,49721,49925,50195,50950,51938,52390,54065,55135
Bentonville,Arkansas,,,,171875,180583.3333,192325,206233.3333,219108.3333,230833.3333,264500,35859,37227,38747,40472,42001,44743,47166,49399,51103,54909
Commerce City,Colorado,167800,151950,179250,209708.3333,239075,272516.6667,301508.3333,331416.6667,350100,366216.6667,46128,47507,48504,49717,51468,53161,54523,55925,58324,60336
Grapevine,Texas,243033.3333,233350,231875,248800,267891.6667,288050,312516.6667,332175,345641.6667,355541.6667,46610,47102,48427,50117,50772,51430,52055,53974,53809,55281
Edina,Minnesota,,,,,382591.6667,391133.3333,417291.6667,441358.3333,432275,450458.3333,48037,48686,49202,49501,49704,50251,51428,51783,52430,52857
Coral Gables,Florida,,,,509733.3333,588591.6667,574775,641266.6667,623200,653416.6667,646225,46963,47613,49049,49762,50176,50275,50396,50628,50125,49700
Cathedral City,California,157741.6667,142116.6667,149500,188833.3333,212133.3333,239825,237608.3333,247575,273600,307550,51452,52077,52478,52846,53187,53516,53943,54413,54793,55007
Troy,New York,,,,,134550,131125,116841.6667,123658.3333,129766.6667,143500,50081,50020,49848,49921,49968,49776,49597,49433,49354,49154
Perth Amboy,New Jersey,169333.3333,150825,147450,159908.3333,164000,168250,180125,201833.3333,233050,261358.3333,50918,51137,51556,51722,51832,51705,51765,51821,51677,51390
Little Elm,Texas,141900,138183.3333,152450,172716.6667,191166.6667,215166.6667,233825,258133.3333,269841.6667,264550,26197,27709,29023,32916,35493,38438,42661,45988,49644,53126
Milford,Connecticut,,,,,,,,270266.6667,274366.6667,275941.6667,51300,51376,51551,51653,51973,52128,52531,52816,53148,53195
Cerritos,California,540833.3333,508141.6667,499250,551508.3333,588441.6667,605225,630258.3333,646133.3333,707558.3333,701233.3333,49042,49223,49384,49507,49532,49546,50346,50697,50288,49859
Eastvale,California,368091.6667,348225,351583.3333,423008.3333,467250,478466.6667,498883.3333,537900,570775,571525,54054,54966,55627,56247,57386,59231,60670,62309,63815,64157
Pinellas Park,Florida,,,,,,,,,168700,178558.3333,49532,49944,50202,50532,51410,51989,52615,52940,53157,53637
Aliso Viejo,California,388200,371558.3333,361050,435575,483491.6667,500783.3333,526141.6667,510925,579108.3333,572791.6667,47801,48474,49038,49538,49542,49499,50858,50982,51206,50887
Diamond Bar,California,,,,,,,,,,619950,55588,55854,56087,56233,56279,56429,56581,56334,56106,55720
Burlington,North Carolina,,,,,,,106158.3333,122608.3333,134366.6667,140366.6667,51172,51169,51198,51314,51475,51867,52180,53121,53911,54606
Dublin,California,473691.6667,452966.6667,443000,536391.6667,644358.3333,689250,760133.3333,778400,871975,862483.3333,45903,46804,48700,52027,54554,57545,59579,60797,63423,64826
Galveston,Texas,,,,,,,,201191.6667,214175,231600,47793,47555,48100,48658,49251,49691,50186,50569,50396,50446
Highland,California,147325,156658.3333,167783.3333,203933.3333,232133.3333,241758.3333,285433.3333,307566.6667,317075,335700,53218,53671,53939,54150,54325,54553,54752,55198,55311,55417
Kannapolis,North Carolina,83583.33333,74358.33333,80125,80975,79041.66667,96766.66667,105908.3333,115300,131016.6667,138941.6667,42699,43169,43769,44385,45310,46311,47577,48774,49770,50841
Rowlett,Texas,136500,135708.3333,142850,154350,172150,186125,207300,231941.6667,244375,252691.6667,56345,57011,57771,58090,58471,60355,62291,62992,66126,67339
Minnetonka,Minnesota,260433.3333,235016.6667,236283.3333,258500,260683.3333,278700,289983.3333,305216.6667,320616.6667,338475,49796,50646,51232,51437,51555,51739,52447,52910,53883,54064
Burien,Washington,,,,229416.6667,262791.6667,284500,346083.3333,384391.6667,421983.3333,433233.3333,48224,48786,49511,49915,50304,50664,51377,51992,51731,51500
Lakewood,Ohio,,,88733.33333,102591.6667,118491.6667,118475,134900,146866.6667,165791.6667,175966.6667,52026,51662,51400,51257,51088,50811,50528,50211,50012,49678
Wylie,Texas,140641.6667,135591.6667,148108.3333,161750,176841.6667,198925,223891.6667,243050,255925,263333.3333,42044,43597,44769,45352,46439,47348,48499,49536,51003,53067
Logan,Utah,,,,139700,146966.6667,150141.6667,163925,183058.3333,202175,222366.6667,48448,49041,49094,49057,49048,49769,50621,51019,51334,51542
Blue Springs,Missouri,129000,117400,124200,126066.6667,132850,142533.3333,152350,168208.3333,178083.3333,190500,52657,52754,52977,53149,53462,53998,54387,54861,55126,55829
Texas City,Texas,,,,,,,104883.3333,114725,121891.6667,133975,45284,45179,45577,45900,46383,47299,47994,48417,49078,50094
Leander,Texas,139766.6667,143066.6667,141675,160491.6667,179250,197525,231008.3333,245983.3333,266016.6667,274416.6667,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608
Herriman,Utah,,,,,,,,,339933.3333,385741.6667,22520,23364,24378,26278,28461,30572,35049,39166,44663,51348
